"id","bathrooms","heating","macrozone","microzone","price_n","rooms_n","price_sqm","surface_room","geometry","time_to_nearest_metro_mins","time_to_nearest_tram_mins","min_time_to_uni_mins"
126916749,"1","Autonomo","Cenisio, Sarpi, Isola","Zara",585,4,8.01369863013699,14.6,c(9.18968, 45.4956),6.42215376088594,5.27616997439537,43.8
126915707,"2","Autonomo","Corvetto, Rogoredo","Corvetto",450,4,30,15,c(9.21247, 45.4406),8.28317785763127,15.4276875379927,69.3
126916431,"1","Autonomo","Bande Nere, Inganni","Lorenteggio",460,4,6.76470588235294,13.6,c(9.13806, 45.4528),5.53949912717006,9.08048410476493,95.5
126916253,"2","Autonomo","Centrale, Repubblica","Centrale",545,4,36.3333333333333,15,c(9.20984, 45.4889),6.25293725282935,3.68242521365266,25.8
126915729,"1","Autonomo","Abbiategrasso, Chiesa Rossa","Pezzotti - Meda",525,5,5.58510638297872,15.04,c(9.17651, 45.4433),10.7736287115959,3.04408451189785,88.5
126917557,"1","Autonomo","Bande Nere, Inganni","Lorenteggio",565,4,8.828125,12.8,c(9.13993, 45.4517),3.03624398162402,6.39192427967209,96.3
126917695,"1","Autonomo","Bande Nere, Inganni","Lorenteggio",525,5,7.5,11.2,c(9.1396, 45.4521),3.44588651382254,7.17794153491936,95.5
126917329,"1","Autonomo","Bande Nere, Inganni","Lorenteggio",525,4,7.5,14,c(9.13661, 45.4538),7.05915019713265,11.1868115583264,91.2
126917093,"1","Autonomo","Bande Nere, Inganni","Lorenteggio",580,4,9.0625,12.8,c(9.13993, 45.4517),3.03624398162402,6.39192427967209,96.3
126916267,"1","Autonomo","Cenisio, Sarpi, Isola","Zara",545,3,10.6862745098039,13.6,c(9.18968, 45.4956),6.42215376088594,5.27616997439537,43.8
126917451,"3","Autonomo","Maggiolina, Istria","Maggiolina",570,5,38,15,c(9.19756, 45.4915),4.94163028067195,5.64162026842396,39.3
126916855,"2","Autonomo","Corvetto, Rogoredo","Corvetto",555,5,5.23584905660377,16.96,c(9.22606, 45.4366),5.35036704697806,24.8087171570559,69.4
126915909,"1","Autonomo","Corvetto, Rogoredo","Corvetto",490,3,7,18.6666666666667,c(9.21399, 45.4397),7.67029220947412,17.2146970837983,69.4
126917279,"1","Autonomo","Uptown, Cascina Merlata, Viale Certosa","Musocco",585,4,7.13414634146341,16.4,c(9.12875, 45.5036),19.7729118117278,4.77782088681054,39.2
