id,heating,macrozone,microzone,latitude,longitude,photo_count,price,sqm,n_rooms,n_bath,floor_num,has_elevator,feat_arredato,feat_balcone,feat_ascensore,feat_lavatrice,feat_aria_condizionata,feat_portineria,feat_terrazzo,feat_giardino,feat_lavastoviglie
121798258,Assente,Navigli,Corso San Gottardo,45.4489,9.1809,19,1000,14,3,2,1,0,0,0,0,1,1,1,0,0,1
127531874,Assente,"Città Studi, Susa",Città Studi,45.477,9.218,26,900,80,3,1,3,0,0,1,0,1,1,1,0,0,1
127531630,Assente,"Città Studi, Susa",Città Studi,45.477,9.218,25,900,80,3,1,3,0,0,1,0,1,1,1,0,0,1
111563489,Assente,"Città Studi, Susa",Città Studi,45.4849,9.2293,36,850,78,3,1,2,0,0,1,0,1,1,1,0,0,1
123842835,Assente,"Napoli, Soderini",Piazza Napoli,45.4507,9.1537,21,1290,80,1,1,2,0,0,0,0,1,0,0,0,0,0
127504844,Autonomo,Navigli,Bocconi,45.4508,9.19124,25,1245,202,6,4,3,1,0,0,0,0,0,0,0,0,0
127317567,Autonomo,"Cenisio, Sarpi, Isola",Isola,45.4891,9.19016,9,890,120,5,2,3,0,0,0,0,0,0,0,0,0,0
127462724,Autonomo,"Quadronno, Palestro, Guastalla",Guastalla,45.4629,9.20061,9,1105,15,6,3,3,1,0,0,0,0,0,0,0,0,0
127569738,Autonomo,"Centrale, Repubblica",Repubblica,45.4801,9.20026,14,900,15,3,1,4,0,0,0,0,0,0,0,0,0,0
127541608,Autonomo,Navigli,Bocconi,45.4508,9.19124,25,1245,202,6,4,3,1,0,0,0,0,0,0,0,0,0
127275297,Autonomo,Navigli,Bocconi,45.4508,9.19124,17,1345,141,6,4,1,1,0,0,0,0,0,0,0,0,0
127141339,Autonomo,"Quadronno, Palestro, Guastalla",Guastalla,45.4621,9.19841,11,1095,120,6,2,1,0,0,0,0,0,0,0,0,0,0
127570188,Autonomo,Navigli,Corso San Gottardo,45.4492,9.18148,9,930,65,3,1,1,0,0,0,0,0,0,0,0,0,0
127201219,Autonomo,"Centrale, Repubblica",Buenos Aires,45.481,9.21101,13,1140,15,3,2,1,0,0,1,0,0,0,0,0,0,0
127602306,Autonomo,Navigli,Bocconi,45.4508,9.19124,18,1245,154,6,4,1,1,0,0,0,0,0,0,0,0,0
127384287,Autonomo,"Centrale, Repubblica",Buenos Aires,45.481,9.21101,13,1140,15,3,2,1,0,0,1,0,0,0,0,0,0,0
127355543,Assente,"Porta Vittoria, Lodi",Martini - Insubria,45.453,9.21808,15,870,90,4,2,2,0,0,0,0,0,0,0,0,0,0
127513960,Assente,Centro,Sant'Ambrogio,45.4647,9.17515,24,1300,146,3,2,1,0,0,0,0,0,0,0,0,0,0
127462622,Assente,"Affori, Bovisa",Affori,45.5114,9.17903,14,860,80,4,1,4,0,0,0,0,0,0,0,0,0,0
127504610,Autonomo,Navigli,Bocconi,45.4508,9.19124,17,1245,154,6,4,1,1,0,0,0,0,0,0,0,0,0
127570100,Assente,"Porta Romana, Cadore, Montenero",Cadore,45.4593,9.21164,14,1050,120,5,3,1,0,0,0,0,0,0,0,0,0,0
127570022,Assente,"San Siro, Trenno",QT8,45.4841,9.13773,26,860,150,5,4,1,0,0,0,0,0,0,0,0,0,0
127414927,Assente,Navigli,Navigli - Darsena,45.4527,9.17094,22,845,15,4,2,1,0,0,0,0,0,0,0,0,0,0
127513754,Assente,"San Siro, Trenno",San Carlo,45.4619,9.10837,51,890,102,6,3,4,0,0,0,0,0,0,0,0,0,0
127504690,Autonomo,"Famagosta, Barona",Famagosta,45.4399,9.17355,8,950,78,3,1,1,0,0,0,0,0,0,0,0,0,0
127385161,Autonomo,"Arco della Pace, Arena, Pagano",Vincenzo Monti,45.4676,9.16741,8,915,220,6,3,3,0,0,0,0,0,0,0,0,0,0
127326333,Autonomo,"Abbiategrasso, Chiesa Rossa",Pezzotti - Meda,45.4433,9.17651,8,850,90,5,1,2,1,0,0,0,0,0,0,0,0,0
127541502,Assente,"San Siro, Trenno",QT8,45.4841,9.13773,23,860,150,5,4,1,0,0,0,0,0,0,0,0,0,0
127541578,Assente,"Porta Romana, Cadore, Montenero",Cadore,45.4593,9.21164,18,950,120,5,3,1,0,0,0,0,0,0,0,0,0,0
127602372,Assente,"Porta Romana, Cadore, Montenero",Cadore,45.4593,9.21164,18,950,120,5,3,1,0,0,0,0,0,0,0,0,0,0
127326119,Autonomo,"Famagosta, Barona",Famagosta,45.4399,9.17355,8,950,78,3,1,2,0,0,0,0,0,0,0,0,0,0
127384889,Autonomo,"Arco della Pace, Arena, Pagano",Vincenzo Monti,45.4676,9.16741,8,915,220,6,3,3,0,0,0,0,0,0,0,0,0,0
