id,title,price_value,price_formatted,rooms,bathrooms,surface,floor,heating,features,address,macrozone,microzone,latitude,longitude,agency_name,phone_number,photo_count,url,description
115245685,"Stanza singola largo Porto di Classe, Milano", € 550.00 ,€ 550/mese,2,1,70 m²,3°,Assente,"balcone, cucina, lavatrice, bagno in comune, armadi",Largo Porto di Classe,"Città Studi, Susa",Argonne - Corsica,45.4674,9.2298,Immobiliare My House,02 8974 3566,11,https://www.immobiliare.it/annunci/115245685/,
125540711,"Stanza singola via Carlo Innocenzo Frugoni 20/3, Milano", € 450.00 ,€ 450/mese,4,1,90 m²,Piano rialzato,Assente,"ripostiglio, balcone, cucina, lavatrice",Via Carlo Innocenzo Frugoni,"Bicocca, Niguarda",Niguarda,45.5219,9.1912,Servizi Immobiliari S.N.C. di Pietro Bodei & C.,02 3540 6349,15,https://www.immobiliare.it/annunci/125540711/,
121255058,"Stanza singola via Giovanni Maria Bicetti De Buttinoni, Milano", € 550.00 ,€ 550/mese,4,2,110 m²,2°,Assente,"ripostiglio, balcone, cucina, connessione ad internet, lavatrice, lavastoviglie, microonde, tv satellitare/pay tv, bagno in comune, tv, armadi",Via Giovanni Maria Bicetti De Buttinoni,"Uptown, Cascina Merlata, Viale Certosa",Certosa,45.5023,9.1416,Simo Immobiliare,02 5964 5269,16,https://www.immobiliare.it/annunci/121255058/,
127495050,"Stanza singola via Val d'Ossola 2, Milano", € 390.00 ,€ 390/mese,3,1,100 m²,3°,Assente,"balcone, cucina, lavatrice, lavastoviglie, portineria, parquet",Via Val d'Ossola,"Bicocca, Niguarda",Niguarda,45.5151,9.1888,Servizi Immobiliari S.N.C. di Pietro Bodei & C.,02 3540 6349,17,https://www.immobiliare.it/annunci/127495050/,
127343357,"Stanza singola via Demonte 4, Milano", € 540.00 ,€ 540/mese,3,1,88 m²,Piano rialzato,Assente,"cucina, lavatrice",Via Demonte,"Bicocca, Niguarda",Prato Centenaro,45.5112,9.1981,Servizi Immobiliari S.N.C. di Pietro Bodei & C.,02 3540 6349,24,https://www.immobiliare.it/annunci/127343357/,
127306229,"Stanza singola viale Fulvio Testi 87, Milano", € 550.00 ,€ 550/mese,3,1,80 m²,1°,Assente,"giardino, balcone, cucina, lavatrice, lavastoviglie, portineria, aria condizionata",Viale Fulvio Testi,"Bicocca, Niguarda",Prato Centenaro,45.5096,9.202,Servizi Immobiliari S.N.C. di Pietro Bodei & C.,02 3540 6349,24,https://www.immobiliare.it/annunci/127306229/,
127578370,"Stanza singola via Ettore Romagnoli 1, Milano", € 500.00 ,€ 500/mese,3,1,15 m²,4°,Assente,"ripostiglio, cucina, connessione ad internet, lavatrice, lavastoviglie, portineria, bagno in comune",Via Ettore Romagnoli,"Napoli, Soderini",Tripoli - Soderini,45.4538,9.1471,Immobiliare DsT,039 974 7101,22,https://www.immobiliare.it/annunci/127578370/,
106927935,"Stanza doppia via Palmanova 91, Milano", € 500.00 ,€ 500/mese,4,2,97 m²,6°,Assente,"balcone, cucina, connessione ad internet, lavatrice, lavastoviglie, microonde, portineria, bagno in comune, aria condizionata, armadi",Via Palmanova,"Cimiano, Crescenzago, Adriano",Cimiano,45.5004,9.2411,Le case di Patty,02 8974 3286,12,https://www.immobiliare.it/annunci/106927935/,
125540229,"Stanza singola via Carlo Innocenzo Frugoni 20/3, Milano", € 450.00 ,€ 450/mese,4,1,90 m²,Piano rialzato,Assente,"ripostiglio, balcone, cucina, lavatrice",Via Carlo Innocenzo Frugoni,"Bicocca, Niguarda",Niguarda,45.5219,9.1912,Servizi Immobiliari S.N.C. di Pietro Bodei & C.,02 3540 6349,15,https://www.immobiliare.it/annunci/125540229/,
126864395,"Stanza singola via Monte Rotondo 17, Milano", € 500.00 ,€ 500/mese,4,1,109 m²,2°,Assente,"ripostiglio, balcone, cucina, lavatrice, lavastoviglie, microonde, portineria, bagno in comune, armadi",Via Monte Rotondo,"Bicocca, Niguarda",Niguarda,45.5145,9.1956,Immobili e Dimore,02 5964 3248,12,https://www.immobiliare.it/annunci/126864395/,
