id,title,price_value,price_formatted,rooms,bathrooms,surface,floor,heating,features,address,macrozone,microzone,latitude,longitude,agency_name,phone_number,photo_count,url,description
96229014,"Stanza singola via Francesco Brioschi 60, Milano",600,€ 600/mese,3,1,60 m²,Piano terra,Autonomo,"giardino, lavatrice, lavastoviglie, microonde, tv, armadi, cucina",Via Francesco Brioschi,"Abbiategrasso, Chiesa Rossa",Pezzotti - Meda,45.4417,9.18149,Privato/Nessuna,,3,https://www.immobiliare.it/annunci/96229014/,
114961007,"Stanza singola via Lepontina 13, Milano",700,€ 700/mese,2,1,65 m²,1°,Autonomo,"connessione ad internet, lavatrice, lavastoviglie, portineria, cucina",Via Lepontina,"Cenisio, Sarpi, Isola",Farini,45.4933,9.18448,Privato/Nessuna,,10,https://www.immobiliare.it/annunci/114961007/,
123093123,"Stanza singola viale Edoardo Jenner 65, Milano",600,€ 600/mese,,1,20 m²,Piano rialzato,Centralizzato,"microonde, lavatrice, portineria, ascensore, cucina",Viale Edoardo Jenner,"Cenisio, Sarpi, Isola",Farini,45.4965,9.17347,Privato/Nessuna,,8,https://www.immobiliare.it/annunci/123093123/,
123748617,"Stanza singola via Ruggero Leoncavallo 33, Milano",670,€ 670/mese,3,1,20 m²,3°,Centralizzato,"balcone, ascensore, connessione ad internet, ripostiglio, lavastoviglie, lavatrice, microonde, portineria, tv, armadi, cucina",Via Ruggero Leoncavallo,"Pasteur, Rovereto",Parco Trotter,45.4918,9.2271,Privato/Nessuna,,8,https://www.immobiliare.it/annunci/123748617/,
110959317,"Stanza singola via Lomellina 25, Milano",650,€ 650/mese,2,1,,2°,Centralizzato,"ascensore, ripostiglio, lavatrice, portineria, cucina",Via Lomellina,"Città Studi, Susa",Argonne - Corsica,45.4651,9.22999,Privato/Nessuna,,9,https://www.immobiliare.it/annunci/110959317/,
119118401,"Stanza doppia via Mario Borsa 10, Milano",630,€ 630/mese,3,1,90 m²,5°,Centralizzato,"balcone, ascensore, connessione ad internet, ripostiglio, lavatrice, microonde, portineria, armadi, accesso per disabili, cucina",Via Mario Borsa,"San Siro, Trenno",Gallaratese,45.5009,9.10499,Privato/Nessuna,,14,https://www.immobiliare.it/annunci/119118401/,
110214115,"Stanza singola via Rembrandt 67, Milano",650,€ 650/mese,3,1,14 m²,7°,Centralizzato,"balcone, ascensore, ripostiglio, lavatrice, microonde, portineria, armadi, cucina",Via Rembrandt,"Bande Nere, Inganni",Piazzale Siena,45.4674,9.13237,Privato/Nessuna,,5,https://www.immobiliare.it/annunci/110214115/,
120467896,"Stanza singola via Giovanni Ambrogio De Predis 4, Milano",650,€ 650/mese,5,1,110 m²,3°,Centralizzato,"ascensore, connessione ad internet, ripostiglio, lavastoviglie, lavatrice, portineria, cucina",Via Giovanni Ambrogio De Predis,"Uptown, Cascina Merlata, Viale Certosa",Certosa,45.4962,9.15299,Privato/Nessuna,,5,https://www.immobiliare.it/annunci/120467896/,
118170887,"Stanza singola via degli Imbriani 19, Milano",700,€ 700/mese,,,,4°,Autonomo,"balcone, connessione ad internet, ripostiglio, lavatrice, lavastoviglie, microonde, armadi",Via degli Imbriani,"Affori, Bovisa",Bovisa,45.4981,9.16982,Privato/Nessuna,,16,https://www.immobiliare.it/annunci/118170887/,
123460375,"Stanza singola via Sant'Uguzzone 5, Milano",650,€ 650/mese,3,2,,3°,Centralizzato,"ascensore, connessione ad internet, ripostiglio, lavatrice, lavastoviglie, cucina",Via Sant'Uguzzone,"Precotto, Turro",Villa San Giovanni,45.5205,9.22613,Privato/Nessuna,,5,https://www.immobiliare.it/annunci/123460375/,
126947139,"Stanza singola piazzale Loreto, Milano",600,€ 600/mese,3,1,,7°,Centralizzato,"balcone, connessione ad internet, ripostiglio, lavatrice, portineria, tv, armadi, cucina",Piazzale Loreto,"Città Studi, Susa",Città Studi,45.486,9.21681,Privato/Nessuna,,6,https://www.immobiliare.it/annunci/126947139/,
112082821,"Stanza singola via Giovanni Ambrogio De Predis 4, Milano",650,€ 650/mese,2,1,,3°,Centralizzato,"lavatrice, lavastoviglie, portineria, cucina",Via Giovanni Ambrogio De Predis,"Uptown, Cascina Merlata, Viale Certosa",Certosa,45.4962,9.15299,Privato/Nessuna,,5,https://www.immobiliare.it/annunci/112082821/,
117268441,"Stanza singola viale Renato Serra 7, Milano",700,€ 700/mese,2,1,18 m²,5°,Centralizzato,"balcone, ascensore, giardino, lavatrice, lavastoviglie, microonde, portineria, armadi, cucina",Viale Renato Serra,"San Siro, Trenno",Monte Stella,45.4855,9.14385,Privato/Nessuna,,5,https://www.immobiliare.it/annunci/117268441/,
88083863,"Stanza singola via Ercolano 1, Milano",700,€ 700/mese,4,2,,1°,Centralizzato,"balcone, connessione ad internet, cucina, ripostiglio, portineria, lavastoviglie, lavatrice, microonde, ascensore, giardino, armadi, tv, accesso per disabili, arredato",Via Ercolano,"Affori, Bovisa",Bovisa,45.4965,9.1552,Privato/Nessuna,,11,https://www.immobiliare.it/annunci/88083863/,
127241045,"Stanza singola via Giovita Scalvini 3, Milano",635,€ 635/mese,3,1,25 m²,1°,Centralizzato,"balcone, terrazzo, connessione ad internet, ripostiglio, lavatrice, lavastoviglie, portineria, con biancheria, armadi, cucina",Via Giovita Scalvini,"Affori, Bovisa",Bovisa,45.499,9.16839,Privato/Nessuna,,5,https://www.immobiliare.it/annunci/127241045/,
109494441,"Stanza doppia via Tito Livio 12, Milano",540,€ 1.080/mese | € 540 a posto letto,3,1,,3°,Centralizzato,"balcone, ascensore, connessione ad internet, lavatrice, lavastoviglie, portineria, tv, armadi, cucina",Via Tito Livio,"Porta Vittoria, Lodi",Lodi - Brenta,45.4519,9.21598,Privato/Nessuna,,6,https://www.immobiliare.it/annunci/109494441/,
118152583,"Stanza singola via Cascina Barocco 4, Milano",700,€ 700/mese,2,1,60 m²,1°,Autonomo,"ascensore, lavatrice, armadi, tv, cucina",Via Cascina Barocco,"San Siro, Trenno",San Carlo,45.4609,9.10908,Privato/Nessuna,,5,https://www.immobiliare.it/annunci/118152583/,
123165879,"Stanza doppia corso Lodi 102A, Milano",490,€ 980/mese | € 490 a posto letto,4,2,,3°,Centralizzato,"connessione ad internet, ripostiglio, lavatrice, lavastoviglie, microonde, portineria, armadi, cucina",Corso Lodi,"Corvetto, Rogoredo",Corvetto,45.4419,9.21989,Privato/Nessuna,,6,https://www.immobiliare.it/annunci/123165879/,
103907381,"Stanza singola via Postumia 31, Milano",600,€ 600/mese,5,1,120 m²,5°,Autonomo,"ascensore, lavatrice, connessione ad internet, armadi, cucina",Via Postumia,"San Siro, Trenno",San Carlo,45.4717,9.11595,Privato/Nessuna,,5,https://www.immobiliare.it/annunci/103907381/,
112467449,"Stanza singola piazza Caiazzo 2, Milano",700,€ 700/mese,5+,1,80 m²,4°,Centralizzato,"ripostiglio, lavatrice, portineria, cucina",Piazza Caiazzo,"Centrale, Repubblica",Buenos Aires,45.4849,9.20961,Privato/Nessuna,,6,https://www.immobiliare.it/annunci/112467449/,
127573102,"Stanza singola via del Ricordo 10, Milano",650,€ 650/mese,3,1,15 m²,3°,Centralizzato,"balcone, ascensore, giardino, lavatrice, lavastoviglie, portineria, ripostiglio, tv, armadi, cucina",Via del Ricordo,"Cimiano, Crescenzago, Adriano",Ponte Nuovo,45.5109,9.24493,Privato/Nessuna,,6,https://www.immobiliare.it/annunci/127573102/,
